Feature,Tree_Importance,Mean_Abs_SHAP,Class_1_SHAP,Class_2_SHAP,Class_3_SHAP,Class_4_SHAP,Class_5_SHAP,Class_6_SHAP,Class_7_SHAP,Class_8_SHAP
std_delta,0.19969793169490485,0.11648025429830587,0.05365018174566432,0.04362539860607464,0.11360548533444302,0.3107414269495099,0.13224732530491276,0.1551219724195879,0.023158427400100674,0.09969181662614988
forward_ratio,0.1932104634267029,0.07071634690794565,0.042411010610679124,0.05863361987018908,0.07637844285929438,0.007290853278033048,0.238157711058531,0.0,0.05590939912256123,0.08694973846428002
max_abs_delta,0.23799911353334474,0.050888829623896355,6.42636854956054e-05,0.00011574378343767851,0.022412771396886494,0.18119513125921222,3.32679077850876e-05,0.1808774874302808,0.01160765511770397,0.010804316410364173
delta_entropy,0.11784391360317233,0.03287931719946356,0.11031412071760208,0.023492258822926743,0.08667726658765672,0.0,0.0,0.0,0.013209261826602663,0.029341629640922528
cl_small_jump_ratio,0.12912063328961654,0.029620044836003338,0.04994776345993801,0.017883563841410793,0.0410604657333302,0.0019075249211505196,0.0,0.0,0.01985163991631113,0.10630940081588656
backward_ratio,0.033995628159940755,0.01890798362423376,0.05053000539181287,0.0,0.025130268625553318,0.0,0.0,0.0,0.029823811328298987,0.04577978364820511
unique_cache_lines,0.039281824985611925,0.01884508208163354,0.00015118928507088216,0.053149535472813626,0.05201060004590502,0.0,3.670076127530744e-05,0.0,0.019846709808132156,0.025565921279871437
std_cl_delta,0.023125110748426252,0.011210035303702723,0.0005401981735144307,0.0006470326875611631,0.042119147635095264,0.0017457376046397838,3.963506359266102e-05,0.0005753734705875362,3.4692283292200854e-05,0.04397846551133726
stride_change_rate,0.015924286742702968,0.005663961885187951,0.0018745750543380955,0.0038818700393840116,4.5727362049507275e-06,0.010551832869264376,0.022622138664036683,0.0,0.003917229970903946,0.0024594757473719773
max_consecutive_same_delta,0.0032033839002866063,0.0018949176085191809,0.001010846690342652,0.00250161283236143,0.0,0.007578325860532147,0.002075708707048623,0.0,3.458411325868658e-05,0.001958262664609873
page_reuse_ratio,0.004717009179910258,0.0012096352512889431,0.0008879635776513031,0.001477604203124915,1.2259461804466674e-05,0.0011616078882938801,0.0006418421635588285,0.0,0.004166771482113399,0.0013290332337647487
dominant_stride_ratio,5.430647781734814e-05,0.0006708964135739872,0.0,0.0,0.002683585654295948,0.0,0.0,0.0,0.0,0.002683585654295949
cache_line_reuse_ratio,0.0003516473217759501,0.00034047265075285246,8.682117765291549e-05,0.000676911345633238,1.7177485339461774e-05,1.4111840614269556e-05,0.0005927402422800423,0.0,3.633899647336793e-05,0.001299680118029486
unique_ip_count,0.0003165650871915926,0.0003027439079587398,7.388352218765321e-05,0.0001410738557281328,3.697585978286293e-05,3.021447375761922e-05,0.0,0.0,0.0010699017761068353,0.0010699017761068353
mean_delta,0.0005417496128770074,0.000242945522109191,0.0006789423999222734,0.000495246541720688,0.0,0.0,0.0003793237107415123,0.0,0.0,0.00039005152448901286
mean_cl_delta,0.00034335136380011193,9.321003423956572e-05,0.00017902336055178797,0.00026304317478440057,0.0,0.0,0.00023661243341513728,0.0,0.0,6.70013051652066e-05
mean_stride_to_cl_ratio,0.0002532520697532741,4.994006332328859e-05,0.00019976025329315433,4.7779953356769896e-05,0.0,0.0,0.00015198029993638434,0.0,0.0,0.0
avg_accesses_per_cache_line,1.9828802164748228e-05,4.794828289177325e-05,0.0,0.00017355098244141047,0.0,0.0,4.6693457745982715e-05,0.0,0.0,0.00016334182294678825
mean_abs_delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_abs_delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abs_dominant_stride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
