Feature,Tree_Importance,Mean_Abs_SHAP,Class_1_SHAP,Class_2_SHAP,Class_3_SHAP,Class_4_SHAP,Class_5_SHAP,Class_6_SHAP
delta_entropy,0.21757136433986432,0.130231495060695,0.1494201918840797,0.019995766129727276,0.11641724625670477,0.14808970589516338,0.11268404190329756,0.2347820182951959
avg_accesses_per_cache_line,0.16738987005179862,0.07755523139353605,0.09490205955243758,0.019644441061467347,0.09229338144069073,0.08329283241356776,0.09612728133145702,0.07907139256159505
max_abs_delta,0.09219302929858873,0.04463457991367251,0.05210727617339116,0.012120530045299846,0.040145072334023896,0.04447419539454366,0.018411745355431355,0.100548660179346
std_abs_delta,0.13154399962924018,0.039684024925504845,0.037067005154966956,0.01704736028671587,0.057271313851812326,0.03365791666995863,0.018973489142623236,0.07408706444695182
mean_delta,0.10636585824656894,0.03638978784800373,0.02853721887577998,0.011751529241396986,0.02861099437904772,0.040715628164644656,0.08822545090879066,0.020497905518363006
mean_abs_delta,0.07829448552086232,0.029170014908324157,0.023963142887683028,0.012064543525139377,0.0010431060812326493,0.07407846899465609,0.06247064544262819,0.0014001825186061427
max_consecutive_same_delta,0.053430769668712214,0.025266976042916785,0.05266277850451687,0.004780247502416093,0.023469934670378813,0.03484416084393032,0.024542222540303315,0.011302512195955707
std_cl_delta,0.04366601620929707,0.019499532730829106,0.011871083794406611,0.00899952422310606,0.011629717115481879,0.021582200862505597,0.03392976405612615,0.028984906333349023
page_reuse_ratio,0.018914833115490495,0.01239388730836787,0.0025949820566421537,0.0010375625715083393,0.0008782051131578507,0.03297317152309512,0.0342119154302106,0.002667487155593045
std_delta,0.01912407058007546,0.011349691968711913,0.023041437379604193,0.006622735942985462,0.0019215913313818309,0.028812132582056272,0.0031522419728397403,0.00454801260340421
cache_line_reuse_ratio,0.021783579725540722,0.009737497839939165,0.018346048324554956,0.004861719839314382,0.021072284259090322,0.005867655059384684,0.002200359845106725,0.006076919712183517
dominant_stride_ratio,0.013628304324185053,0.008919411935251116,0.0,0.0,0.0015751058118889216,0.026539592596174853,0.024541261769428297,0.000860511434015198
stride_change_rate,0.008021344876373616,0.006792764378092914,0.008649368612042853,0.0016136865273150875,0.009862611240983248,0.004877278431503647,0.012361221819511709,0.003392419637201115
mean_stride_to_cl_ratio,0.009012825983244559,0.006092059712695301,0.0035470907833566427,0.0029746165643600507,0.0,0.0013561938366966435,0.014631911023768877,0.014042546067989756
unique_cache_lines,0.008500157031048146,0.005969355529288174,0.007810070033815052,0.0011017383019349303,0.009932424338192249,0.007998825428780965,0.008520085193233804,0.00045298987977234693
mean_cl_delta,0.006217508388792105,0.0028461656936038097,0.0037751786389169204,0.001958180433057392,0.0027361513393707993,0.004996791186182346,0.003348993555465704,0.0002616990086297516
backward_ratio,0.0013238193206783443,0.0023942349787612603,0.0001983804244112834,0.001196583551110897,0.0010735493089634065,0.005943780231014176,0.005943780231014178,9.336126053527424e-06
abs_dominant_stride,0.001260854184365332,0.0010868861262615945,0.002168567488441433,0.002501130379107452,0.0,0.0007254490324404282,0.0007254490324404285,0.0004007208251398283
unique_ip_count,0.0010874778118436055,0.0010029086225045855,0.0014205327900230014,0.0,0.0,0.0015881930774907446,0.0,0.00300872586751374
cl_small_jump_ratio,0.0002550437095248414,0.0005797226451274867,0.0,0.0,0.0,0.0017391679353824484,0.0,0.0017391679353824484
forward_ratio,0.00041478798390499384,0.0005006016301349661,0.0014567723709882534,0.000126299144311975,0.0,0.0,0.0,0.0014205382655095914
